make,model,wh_km,capacity_kwh
TESLA,MODEL 3,137,57.50
HYUNDAI,IONIQ 6 STANDARD RANGE 2WD,148,54.00
TESLA,MODEL 3 LONG RANGE DUAL MOTOR,149,75.00
HYUNDAI,IONIQ 6 LONG RANGE 2WD,149,74.00
DACIA,SPRING ELECTRIC 45,152,25.00
OPEL,CORSA ELECTRIC 51 KWH,153,48.10
RENAULT,MEGANE E-TECH EV40 130HP,154,40.00
CITROEN,E-C4 54 KWH,154,50.80
CITROEN,E-C4 X 54 KWH,154,50.80
PEUGEOT,E-208 51 KWH,155,48.10
BMW,I4 EDRIVE35,156,67.00
LUCID,AIR PURE AWD,156,92.00
DACIA,SPRING ELECTRIC 65 EXTREME,156,25.00
BMW,I4 EDRIVE40,157,80.70
OPEL,CORSA ELECTRIC 50 KWH,157,46.30
MINI,COOPER E,157,37.00
FIAT,500E HATCHBACK 24 KWH,158,21.30
FIAT,500E 3+1 24 KWH,158,21.30
FIAT,500E CABRIO 24 KWH,158,21.30
RENAULT,TWINGO ELECTRIC,158,21.30
RENAULT,MEGANE E-TECH EV60 130HP,158,60.00
RENAULT,MEGANE E-TECH EV60 220HP,158,60.00
MINI,COOPER SE,158,49.00
MINI,COOPER SE,158,28.90
MINI,COOPER SE,161,49.00
MINI,COOPER SE,161,28.90
LUCID,AIR TOURING,159,92.00
FIAT,500E HATCHBACK 42 KWH,159,37.30
FIAT,500E 3+1 42 KWH,159,37.30
SKODA,ENYAQ COUPE 85,159,77.00
CITROEN,E-C4,160,46.30
PEUGEOT,E-208 50 KWH,160,46.30
HYUNDAI,KONA ELECTRIC 39 KWH,160,39.20
VOLKSWAGEN,ID.7 PRO,162,77.00
FIAT,500E CABRIO 42 KWH,162,37.30
PEUGEOT,E-208,162,46.30
CITROEN,E-C4 X,162,46.30
SKODA,ENYAQ COUPE 60,163,58.00
SKODA,ENYAQ COUPE 85X,164,77.00
JEEP,AVENGER ELECTRIC,164,50.80
MERCEDES,EQA 250+,164,70.50
HYUNDAI,KONA ELECTRIC 64 KWH,164,64.00
MERCEDES,EQA 250,164,66.50
TESLA,MODEL Y,164,57.50
TESLA,MODEL Y,164,57.50
TESLA,MODEL Y,164,57.50
TESLA,MODEL Y,164,57.50
BYD,SEAL 82.5 KWH RWD DESIGN,165,82.50
RENAULT,ZOE ZE50 R110,165,52.00
TESLA,MODEL S DUAL MOTOR,165,95.00
VOLKSWAGEN,ID.7 PRO S,165,86.00
POLESTAR,2 STANDARD RANGE SINGLE MOTOR,165,67.00
VOLKSWAGEN,ID.3 PRO,166,58.00
CUPRA,BORN 150 KW - 58 KWH,166,58.00
BMW,IX1 EDRIVE20,166,64.70
NISSAN,LEAF,166,39.00
OPEL,ASTRA ELECTRIC,167,50.80
FIAT,600E,167,50.80
HYUNDAI,KONA ELECTRIC 48 KWH,167,48.40
XPENG,P7 RWD LONG RANGE,167,82.70
HYUNDAI,KONA ELECTRIC 65 KWH,168,65.40
RENAULT,ZOE ZE50 R135,168,52.00
ABARTH,500E HATCHBACK,168,37.80
ABARTH,500E CONVERTIBLE,168,37.80
POLESTAR,2 LONG RANGE SINGLE MOTOR,168,79.00
CUPRA,BORN 170 KW - 58 KWH,168,58.00
HYUNDAI,IONIQ 6 LONG RANGE AWD,168,74.00
KIA,NIRO EV,168,64.80
LUCID,AIR GRAND TOURING,168,112.00
PORSCHE,TAYCAN,169,71.00
VOLKSWAGEN,ID.3 PRO S - 4 SEATS,169,77.00
SKODA,ENYAQ 85,169,77.00
SKODA,ENYAQ COUPE RS,169,77.00
VOLKSWAGEN,ID.5 PRO,169,77.00
OPEL,ASTRA SPORTS TOURER ELECTRIC,169,50.80
PEUGEOT,E-2008 54 KWH,169,50.80
MG,MG4 ELECTRIC 51 KWH,169,50.80
PEUGEOT,E-308,169,50.80
PEUGEOT,E-308 SW,169,50.80
DS,3 E-TENSE,169,50.80
MERCEDES,EQE 300,170,89.00
TESLA,MODEL S PLAID,170,95.00
MERCEDES,EQB 250+,170,70.50
BYD,SEAL 82.5 KWH AWD EXCELLENCE,170,82.50
BMW,IX1 XDRIVE30,170,64.70
MINI,COUNTRYMAN E,170,64.70
BMW,IX2 XDRIVE30,170,64.70
KIA,E-SOUL 39.2 KWH,170,39.20
SKODA,ENYAQ 60,171,58.00
MERCEDES,EQS 450+,171,108.40
MERCEDES,EQE 350+,171,90.60
BMW,I5 EDRIVE40 SEDAN,171,81.20
PORSCHE,TAYCAN 4S,171,71.00
CUPRA,TAVASCAN ENDURANCE,171,77.00
CUPRA,BORN 170 KW - 77 KWH,171,77.00
MG,MG5 ELECTRIC LONG RANGE,171,57.40
MG,MG4 ELECTRIC 64 KWH,171,61.70
AIWAYS,U6,171,60.00
PEUGEOT,E-2008 50 KWH,171,46.30
LUCID,AIR DREAM EDITION R,172,118.00
