Make	Model	Rating
ACURA	ILX	6.245210727969349
ACURA	ILX	5.766283524904215
ACURA	ILX HYBRID	7.394636015325671
ACURA	MDX 4WD	5.114942528735632
ACURA	RDX AWD	5.325670498084292
ACURA	RLX	5.593869731800766
ACURA	TL	5.555555555555555
ACURA	TL AWD	5.114942528735632
ACURA	TL AWD	4.885057471264368
ACURA	TSX	5.938697318007663
ACURA	TSX	5.689655172413794
ACURA	TSX	5.421455938697318
ALFA ROMEO	4C	6.302681992337165
ASTON MARTIN	DB9	3.1226053639846745
ASTON MARTIN	RAPIDE	3.1226053639846745
ASTON MARTIN	V8 VANTAGE	3.5249042145593874
ASTON MARTIN	V8 VANTAGE	3.2183908045977017
ASTON MARTIN	V8 VANTAGE S	3.5249042145593874
ASTON MARTIN	V8 VANTAGE S	3.2183908045977017
ASTON MARTIN	VANQUISH	3.1226053639846745
AUDI	A4	6.130268199233717
AUDI	A4 QUATTRO	5.593869731800766
AUDI	A4 QUATTRO	5.900383141762452
AUDI	A5 CABRIOLET QUATTRO	5.593869731800766
AUDI	A5 QUATTRO	5.593869731800766
AUDI	A5 QUATTRO	5.900383141762452
AUDI	A6 QUATTRO	5.49808429118774
AUDI	A6 QUATTRO	5.1915708812260535
AUDI	A6 QUATTRO TDI (modified)	5.842911877394636
AUDI	A7 QUATTRO	4.980842911877395
AUDI	A7 QUATTRO TDI (modified)	5.842911877394636
AUDI	A8	5.057471264367816
AUDI	A8	4.923371647509579
AUDI	A8 TDI (modified)	5.708812260536399
AUDI	A8L	5.057471264367816
AUDI	A8L	4.482758620689656
AUDI	A8L	3.0459770114942533
AUDI	A8L TDI (modified)	5.708812260536399
AUDI	ALLROAD QUATTRO	5.363984674329502
AUDI	Q5	5.421455938697318
AUDI	Q5	5.057471264367816
AUDI	Q5 TDI (modified)	5.325670498084292
AUDI	Q5 HYBRID	5.938697318007663
AUDI	Q7	4.17624521072797
AUDI	Q7 TDI (modified)	4.444444444444445
AUDI	R8	3.5632183908045985
AUDI	R8	2.2030651340996172
AUDI	R8	3.352490421455939
AUDI	R8	2.164750957854406
AUDI	R8 SPYDER	3.5632183908045985
AUDI	R8 SPYDER	2.2030651340996172
AUDI	R8 SPYDER	3.352490421455939
AUDI	R8 SPYDER	2.164750957854406
AUDI	RS 5	4.137931034482759
AUDI	RS 5 CABRIOLET	4.099616858237548
AUDI	RS 7	4.3869731800766285
AUDI	S4	4.980842911877395
AUDI	S4	4.540229885057472
AUDI	S5	4.980842911877395
AUDI	S5	4.540229885057472
AUDI	S5 CABRIOLET	4.885057471264368
AUDI	S6	4.616858237547893
AUDI	S7	4.616858237547893
AUDI	S8	4.252873563218391
AUDI	SQ5	4.406130268199234
AUDI	TT COUPE QUATTRO	5.996168582375479
AUDI	TT ROADSTER QUATTRO	5.996168582375479
AUDI	TTS COUPE QUATTRO	5.459770114942529
AUDI	TTS ROADSTER QUATTRO	5.459770114942529
BENTLEY	CONTINENTAL GT	3.9846743295019165
BENTLEY	CONTINENTAL GT	3.1800766283524906
BENTLEY	CONTINENTAL GTC	3.6398467432950197
BENTLEY	CONTINENTAL GTC	2.7203065134099624
BENTLEY	CONTINENTAL GT SPEED CONVERTIBLE	2.7203065134099624
BENTLEY	FLYING SPUR	2.567049808429119
BENTLEY	MULSANNE	1.628352490421456
BMW	320i	6.302681992337165
BMW	320i	6.168582375478927
BMW	320i xDRIVE	6.130268199233717
BMW	328d xDRIVE	6.53256704980843
BMW	328d xDRIVE TOURING	6.53256704980843
BMW	328i	6.302681992337165
BMW	328i	6.168582375478927
BMW	328i xDRIVE	5.996168582375479
BMW	328i xDRIVE GRAN TURISMO	5.996168582375479
BMW	328i xDRIVE TOURING	5.996168582375479
BMW	335i	5.766283524904215
BMW	335i	5.593869731800766
BMW	335i xDRIVE	5.6321839080459775
BMW	335i xDRIVE	5.459770114942529
BMW	335i xDRIVE GRAN TURISMO	5.555555555555555
BMW	428i COUPE	6.302681992337165
BMW	428i COUPE	6.168582375478927
BMW	428i xDRIVE COUPE	5.996168582375479
BMW	435i COUPE	5.766283524904215
BMW	435i COUPE	5.593869731800766
BMW	435i xDRIVE COUPE	5.6321839080459775
BMW	435i xDRIVE COUPE	5.459770114942529
BMW	528i	6.130268199233717
BMW	528i xDRIVE	5.996168582375479
BMW	535d xDRIVE	5.919540229885058
BMW	535i xDRIVE	5.555555555555555
BMW	535i xDRIVE GRAN TURISMO	5.287356321839081
BMW	550i xDRIVE	4.616858237547893
BMW	550i xDRIVE GRAN TURISMO	4.406130268199234
BMW	640i xDRIVE GRAN COUPE	5.555555555555555
BMW	650i xDRIVE CABRIOLET	4.406130268199234
BMW	650i xDRIVE COUPE	4.616858237547893
BMW	650i xDRIVE GRAN COUPE	4.406130268199234
BMW	740Li xDRIVE	5.287356321839081
BMW	750i xDRIVE	4.406130268199234
BMW	750Li xDRIVE	4.406130268199234
BMW	760Li	3.1800766283524906
BMW	ACTIVEHYBRID 3	6.340996168582375
BMW	ACTIVEHYBRID 5	5.900383141762452
BMW	ACTIVEHYBRID 7L	5.938697318007663
BMW	ALPINA B7 xDRIVE LWB	4.406130268199234
BMW	ALPINA B7 xDRIVE SWB	4.406130268199234
BMW	M5	3.5249042145593874
BMW	M5	3.9272030651341003
BMW	M6	3.5249042145593874
BMW	M6	3.9272030651341003
BMW	M6 CABRIOLET	3.5249042145593874
BMW	M6 CABRIOLET	3.9272030651341003
BMW	M6 GRAN COUPE	3.5249042145593874
BMW	M6 GRAN COUPE	3.9272030651341003
BMW	X1 xDRIVE28i	5.996168582375479
BMW	X1 xDRIVE35i	5.019157088122606
BMW	X3 xDRIVE28i	5.593869731800766
BMW	X3 xDRIVE35i	5.153256704980843
BMW	X5 xDRIVE35i	5.114942528735632
BMW	X5 xDRIVE50i	3.869731800766284
BMW	X6 M	2.911877394636016
BMW	X6 xDRIVE35i	4.75095785440613
BMW	X6 xDRIVE50i	3.793103448275862
BMW	Z4 sDRIVE28i	5.996168582375479
BMW	Z4 sDRIVE28i	6.168582375478927
BMW	Z4 sDRIVE35i	4.674329501915709
BMW	Z4 sDRIVE35i	5.153256704980843
BMW	Z4 sDRIVE35is	4.674329501915709
BUICK	ENCLAVE	4.578544061302682
BUICK	ENCLAVE AWD	4.444444444444445
BUICK	ENCORE	6.245210727969349
BUICK	ENCORE AWD	5.938697318007663
